,Class,Accuracy,Top 5 Accuracy,F1 score,Precision,Recall,Specificity
22,"bald eagle, American eagle, Haliaeetus leucocephalus",tensor(0.7428),0.98,0.9320388,0.9056604,0.96,0.9998999
23,vulture,tensor(0.7428),1.0,0.9056604,0.85714287,0.96,0.99983984
24,"great grey owl, great gray owl, Strix nebulosa",tensor(0.7428),0.98,0.989899,1.0,0.98,1.0
25,"European fire salamander, Salamandra salamandra",tensor(0.7428),0.98,0.9591837,0.9791667,0.94,0.99998
26,"common newt, Triturus vulgaris",tensor(0.7428),1.0,0.6111111,0.5689655,0.66,0.9994995
27,eft,tensor(0.7428),0.8,0.80851066,0.8636364,0.76,0.9998799
28,"spotted salamander, Ambystoma maculatum",tensor(0.7428),0.9,0.81632656,0.8333333,0.8,0.99983984
29,"axolotl, mud puppy, Ambystoma mexicanum",tensor(0.7428),0.96,0.8888889,0.8979592,0.88,0.9998999
30,"bullfrog, Rana catesbeiana",tensor(0.7428),0.86,0.70967746,0.76744187,0.66,0.9997998
31,"tree frog, tree-frog",tensor(0.7428),0.94,0.8041237,0.82978725,0.78,0.99983984
32,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",tensor(0.7428),0.8,0.51785713,0.46774194,0.58,0.99933934
33,"loggerhead, loggerhead turtle, Caretta caretta",tensor(0.7428),0.94,0.7636364,0.7,0.84,0.99963963
34,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",tensor(0.7428),0.86,0.6966292,0.7948718,0.62,0.99983984
35,mud turtle,tensor(0.7428),0.92,0.60784316,0.59615386,0.62,0.9995796
36,terrapin,tensor(0.7428),1.0,0.5744681,0.6136364,0.54,0.99965966
37,"box turtle, box tortoise",tensor(0.7428),1.0,0.76,0.76,0.76,0.99975973
38,banded gecko,tensor(0.7428),0.94,0.82828283,0.8367347,0.82,0.99983984
39,"common iguana, iguana, Iguana iguana",tensor(0.7428),0.92,0.78787875,0.79591835,0.78,0.9997998
40,"American chameleon, anole, Anolis carolinensis",tensor(0.7428),0.96,0.5981308,0.5614035,0.64,0.9994995
41,"whiptail, whiptail lizard",tensor(0.7428),0.96,0.78899086,0.7288136,0.86,0.9996797
42,agama,tensor(0.7428),0.94,0.71999997,0.72,0.72,0.99971974
43,"frilled lizard, Chlamydosaurus kingi",tensor(0.7428),0.92,0.8712871,0.8627451,0.88,0.99985987
44,alligator lizard,tensor(0.7428),0.86,0.6593407,0.73170733,0.6,0.99977976
45,"Gila monster, Heloderma suspectum",tensor(0.7428),0.84,0.8181819,0.94736844,0.72,0.99995995
